Instacne100	SceneParse150	FullADE20K
1		8		165
2		9		3055
3		11		350
4		13		1831
5		15		774
5		15		783
6		16		2684
7		19		687
8		20		471
9		21		401
10		23		1735
11		24		2473
12		25		2329
13		28		1564
14		31		57
15		32		2272
16		33		907
17		34		724
18		36		2985
18		36		533
19		37		1395
20		38		155
21		39		2053
22		40		689
23		42		266
24		43		581
25		44		2380
26		45		491
27		46		627
28		48		2388
29		50		943
30		51		2096
31		54		2530
32		56		420
33		57		1948
34		58		1869
35		59		2251
36		63		239
37		65		571
38		66		2793
39		67		978
40		68		236
41		70		181
42		71		629
43		72		2598
44		73		1744
45		74		1374
46		75		591
47		76		2679
48		77		223
49		79		47
50		81		327
51		82		2821
52		83		1451
53		84		2880
54		86		480
55		87		77
56		88		2616
57		89		246
57		89		247
58		90		2733
59		91		14
60		93		38
61		94		1936
62		96		120
63		98		1702
64		99		249
65		103		2928
66		104		2337
67		105		1023
68		108		2989
69		109		1930
70		111		2586
71		112		131
72		113		146
73		116		95
74		117		1563
75		119		1708
76		120		103
77		121		1002
78		122		2569
79		124		2833
80		125		1551
81		126		1981
82		127		29
83		128		187
84		130		747
85		131		2254
86		133		2262
87		134		1260
88		135		2243
89		136		2932
90		137		2836
91		138		2850
92		139		64
93		140		894
94		143		1919
95		144		1583
96		145		318
97		147		2046
98		148		1098
99		149		530
100		150		954
